question;xai method;feature
Can you describe the contribution of each feature to the prediction?;shapAllFeatures;
How does each feature weigh in on the prediction?;shapAllFeatures;
What is the significance of each feature for the prediction?;shapAllFeatures;
How does each individual feature affect the prediction?;shapAllFeatures;
What influence does each feature have on the prediction?;shapAllFeatures;
Can you detail the impact of each feature on the prediction?;shapAllFeatures;
What part does each feature play in the prediction?;shapAllFeatures;
What happens to the prediction if Age changes?;ceterisParibus;Age
How does altering Marital Status affect the prediction?;ceterisParibus;Marital Status
What is the impact on the prediction if Occupation is different?;ceterisParibus;Occupation
How does a change in Weekly Working Hours influence the prediction?;ceterisParibus;Weekly Working Hours
What effect does modifying Work Life Balance have on the prediction?;ceterisParibus;Work Life Balance
What happens to the prediction when Education Level changes?;ceterisParibus;Education Level
How is the prediction affected by a change in Investment Outcome?;ceterisParibus;Investment Outcome
What is the result of altering Age on the prediction?;ceterisParibus;Age
How does the prediction shift if Marital Status is modified?;ceterisParibus;Marital Status
What difference does a change in Occupation make to the prediction?;ceterisParibus;Occupation
How does adjusting Weekly Working Hours alter the prediction?;ceterisParibus;Weekly Working Hours
What happens to the prediction with a different Work Life Balance?;ceterisParibus;Work Life Balance
How is the prediction influenced by changing Education Level?;ceterisParibus;Education Level
What effect does a different Investment Outcome have on the prediction?;ceterisParibus;Investment Outcome
How does the prediction change when Age is altered?;ceterisParibus;Age
What is the impact on the prediction with a change in Marital Status?;ceterisParibus;Marital Status
How does modifying Occupation affect the prediction outcome?;ceterisParibus;Occupation
What happens to the prediction if there is a change in Weekly Working Hours?;ceterisParibus;Weekly Working Hours
How does a different Work Life Balance influence the prediction?;ceterisParibus;Work Life Balance
What effect does changing Education Level have on the prediction?;ceterisParibus;Education Level
What is the distribution of Investment Outcome?;featureStatistics;Investment Outcome
What are the highest and lowest values of Age?;featureStatistics;Age
Can you show the average value of Marital Status?;featureStatistics;Marital Status
What are the typical values for Occupation?;featureStatistics;Occupation
What is the range of Weekly Working Hours?;featureStatistics;Weekly Working Hours
What is the mean value of Work Life Balance?;featureStatistics;Work Life Balance
How does Education Level vary across the data?;featureStatistics;Education Level
What is the median value of Investment Outcome?;featureStatistics;Investment Outcome
What are the most common values of Age?;featureStatistics;Age
Can you show the spread of Marital Status values?;featureStatistics;Marital Status
What is the standard deviation of Occupation?;featureStatistics;Occupation
What are the key statistics for Weekly Working Hours?;featureStatistics;Weekly Working Hours
What is the variance of Work Life Balance?;featureStatistics;Work Life Balance
Can you show the frequency distribution of Education Level?;featureStatistics;Education Level
What is the typical range for Investment Outcome?;featureStatistics;Investment Outcome
What are the minimum and maximum values of Age?;featureStatistics;Age
What is the average range of Marital Status?;featureStatistics;Marital Status
What is the typical value of Occupation?;featureStatistics;Occupation
How is Weekly Working Hours distributed across the dataset?;featureStatistics;Weekly Working Hours
What is the summary of Work Life Balance values?;featureStatistics;Work Life Balance
